iter	R2	RMSE
0	0.04662752098	0.8480408521
1	0.0895534211	0.8287293165
2	0.1281302196	0.8109821227
3	0.1627971071	0.7946956365
4	0.1947187438	0.7793979578
5	0.2233007023	0.7654413585
6	0.2490422489	0.7526502675
7	0.2727948555	0.7406515559
8	0.2936451467	0.7299564241
9	0.3141617687	0.7192772324
10	0.3326774563	0.7095015793
11	0.3496788383	0.7004052801
12	0.3652374486	0.6919761352
13	0.378842882	0.6845200941
14	0.3915920302	0.677458842
15	0.402679218	0.6712577003
16	0.4142490976	0.6647249062
17	0.4232688969	0.6595871026
18	0.4327622981	0.6541359424
19	0.4403692755	0.6497349718
20	0.4482508706	0.6451434562
21	0.455069333	0.6411447537
22	0.4612228364	0.6375144867
23	0.4669816754	0.634098226
24	0.4720315964	0.6310872915
25	0.4769033777	0.6281688927
26	0.4812486872	0.6255543848
27	0.4854203656	0.6230340255
28	0.4892434631	0.620715278
29	0.4926894048	0.6186178319
30	0.4955801366	0.6168528254
31	0.4984499757	0.6150955656
32	0.501098968	0.6134690673
33	0.5033035528	0.6121121429
34	0.5056482747	0.6106656552
35	0.5080958466	0.6091520541
36	0.5106181271	0.6075883074
37	0.5132187202	0.6059717838
38	0.5149441936	0.6048968488
39	0.5166624164	0.6038245293
40	0.5185590516	0.6026386495
41	0.5203006889	0.6015476238
42	0.5218569714	0.6005710344
43	0.5240227982	0.5992092983
44	0.5258926625	0.5980311509
45	0.5277247862	0.5968745272
46	0.5293837768	0.5958252657
47	0.5308394643	0.5949030629
48	0.532437019	0.5938893368
49	0.5338647735	0.5929818906
50	0.5350991031	0.5921962599
51	0.5362183622	0.5914829676
52	0.5373508126	0.5907603921
53	0.5383594691	0.59011606
54	0.5391939378	0.5895824672
55	0.5399184773	0.5891187756
56	0.5406303235	0.5886628517
57	0.5413227012	0.588219058
58	0.5419728831	0.5878020056
59	0.5426656138	0.5873573348
60	0.5433357887	0.5869268221
61	0.5437874627	0.5866364937
62	0.5444178628	0.5862310429
63	0.5452197694	0.5857148795
64	0.5456792999	0.5854188883
65	0.5459790548	0.5852257306
66	0.5463789014	0.5849679758
67	0.5467951948	0.5846994983
68	0.5473809188	0.584321542
69	0.5481347119	0.5838347738
70	0.5486133529	0.5835254767
71	0.5491732521	0.5831634624
72	0.5498029679	0.582756038
73	0.5505622914	0.5822643788
74	0.5509485158	0.5820141405
75	0.5512043612	0.5818483167
76	0.5517611032	0.5814873061
77	0.552541461	0.5809809179
78	0.5529799168	0.5806962022
79	0.5536355248	0.580270216
80	0.5539443974	0.5800694154
81	0.5541988024	0.5799039723
82	0.5544356579	0.5797498995
83	0.5545927019	0.5796477209
84	0.5547852493	0.5795224179
85	0.5552203275	0.5792391847
86	0.5554591232	0.5790836713
87	0.5557890106	0.5788687666
88	0.5562351929	0.5785779747
89	0.556582324	0.5783516367
90	0.5566838749	0.5782854063
91	0.5568985456	0.5781453753
92	0.5571985506	0.5779496234
93	0.5573434017	0.577855085
94	0.5577517973	0.5775884585
95	0.558005884	0.5774225126
96	0.5585418853	0.5770722895
97	0.5587556194	0.5769325764
98	0.5590287461	0.5767539904
99	0.5593297882	0.5765570877
100	0.5596293218	0.5763611049
101	0.5599345811	0.5761613072
102	0.5601227572	0.576038108
103	0.5602821913	0.5759337057
104	0.5604073387	0.5758517421
105	0.5608603826	0.5755549294
106	0.5610002782	0.5754632455
107	0.5612986857	0.5752676284
108	0.5614315354	0.5751805191
109	0.56155373	0.5751003847
110	0.5617287735	0.5749855728
111	0.5621262649	0.5747247712
112	0.5623165712	0.5745998658
113	0.5623773364	0.5745599775
114	0.562708715	0.5743424009
115	0.5629015797	0.5742157318
116	0.5631850467	0.5740295064
117	0.5632463995	0.5739891924
118	0.5633975468	0.5738898636
119	0.563546944	0.573791668
120	0.5636944693	0.5736946863
121	0.5638438431	0.5735964726
122	0.5639531084	0.5735246198
123	0.5640254073	0.5734770711
124	0.5641129453	0.5734194949
125	0.564167017	0.5733839275
126	0.5642055274	0.5733585947
127	0.5643604797	0.5732566532
128	0.5646222539	0.5730843933
129	0.5648350945	0.572944296
130	0.5649899215	0.5728423632
131	0.5651418273	0.5727423361
132	0.5652620627	0.5726631508
133	0.5654256984	0.5725553652
134	0.5654682029	0.5725273645
135	0.5655974732	0.5724421967
136	0.565763044	0.5723330943
137	0.5659594925	0.5722036181
138	0.5660429793	0.5721485843
139	0.5660856909	0.5721204271
140	0.5662905517	0.5719853557
141	0.5664628272	0.5718717441
142	0.566549606	0.571814507
143	0.5665700598	0.5718010153
144	0.5666682261	0.5717362589
145	0.566770478	0.5716687995
146	0.5668902038	0.5715898019
147	0.5669843297	0.5715276879
148	0.5671863368	0.57139436
149	0.5672049532	0.5713820713
150	0.5674710066	0.5712064206
151	0.5675532137	0.5711521359
152	0.5675534625	0.5711519716
153	0.5676387899	0.5710956209
154	0.5677417252	0.5710276345
155	0.5678197805	0.5709760753
156	0.5679735053	0.5708745193
157	0.5682185597	0.5707125904
158	0.5683278973	0.5706403267
159	0.5684574977	0.5705546589
160	0.568630421	0.570440334
161	0.5688065068	0.5703238947
162	0.5689067099	0.5702576235
163	0.5690681486	0.5701508365
164	0.5691912605	0.5700693881
165	0.5692923483	0.5700025018
166	0.5694550525	0.5698948295
167	0.5695106847	0.5698580093
168	0.5696315915	0.5697779788
169	0.5697436049	0.569703825
170	0.5699340842	0.5695777039
171	0.5699467105	0.5695693427
172	0.5700273947	0.5695159105
173	0.5701852663	0.5694113473
174	0.5703149881	0.5693254142
175	0.570475419	0.5692191201
176	0.5707487747	0.5690379616
177	0.5708669186	0.5689596474
178	0.5709285167	0.5689188114
179	0.5710617611	0.5688304682
180	0.5712465392	0.5687079346
181	0.5712731995	0.5686902529
182	0.5713779865	0.5686207506
183	0.5716089172	0.5684675507
184	0.5716837848	0.5684178745
185	0.5717984995	0.5683417506
186	0.5718853629	0.5682841018
187	0.5719390891	0.5682484423
188	0.5719945503	0.5682116289
189	0.5720197421	0.5681949065
190	0.5720669244	0.5681635856
191	0.572186983	0.5680838796
192	0.5722233369	0.5680597423
193	0.5722679301	0.5680301331
194	0.5723000685	0.5680087927
195	0.5723842073	0.5679529195
196	0.5725313651	0.5678551847
197	0.5726017606	0.5678084256
198	0.5726402512	0.5677828572
199	0.5727864798	0.5676857105
200	0.5728466352	0.5676457415
201	0.572907593	0.5676052365
202	0.5729417502	0.5675825387
203	0.5730478823	0.5675120067
204	0.5732484061	0.5673787212
205	0.5732484061	0.5673787212
206	0.5733007535	0.5673439215
207	0.5733388371	0.5673186027
208	0.5733937745	0.5672820772
209	0.5734637075	0.5672355785
210	0.5735388712	0.5671855975
211	0.573577155	0.5671601385
212	0.5736790873	0.5670923474
213	0.5737751233	0.5670284702
214	0.5738988977	0.5669461325
215	0.5739221916	0.5669306355
216	0.574130483	0.5667920444
217	0.574257496	0.566707517
218	0.5742927075	0.5666840814
219	0.5744006228	0.5666122507
220	0.574466684	0.5665682744
221	0.5745208843	0.5665321913
222	0.5745458578	0.5665155647
223	0.5746266317	0.5664617847
224	0.5747867141	0.5663551853
225	0.5748839886	0.5662904001
226	0.5750349332	0.5661898557
227	0.5751249382	0.5661298947
228	0.5752784209	0.5660276306
229	0.5753855995	0.5659562075
230	0.5754001394	0.5659465175
231	0.5754401548	0.5659198487
232	0.5755617652	0.5658387922
233	0.5756894646	0.5657536647
234	0.5757489992	0.5657139732
235	0.5757609772	0.5657059871
236	0.5758171041	0.5656685644
237	0.5758882176	0.5656211458
238	0.5760619202	0.5655053037
239	0.5761699955	0.5654332165
240	0.5763836072	0.5652907084
241	0.5764105787	0.5652727122
242	0.5764453068	0.5652495398
243	0.5766130611	0.5651375914
244	0.5766457208	0.5651157939
245	0.5766834219	0.5650906307
246	0.5767722588	0.5650313328
247	0.5768360614	0.5649887413
248	0.5768896224	0.5649529841
249	0.5769018288	0.5649448348
250	0.5769373427	0.5649211242
251	0.5769896708	0.5648861859
252	0.5770813517	0.5648249675
253	0.5771201583	0.5647990529
254	0.5771696681	0.5647659893
255	0.577273341	0.5646967481
256	0.577352852	0.5646436385
257	0.577389005	0.5646194883
258	0.5774791563	0.5645592629
259	0.5775524261	0.5645103103
260	0.5776276158	0.5644600707
261	0.5776777055	0.5644265996
262	0.5777613474	0.5643707039
263	0.5778912508	0.5642838818
264	0.5779545577	0.5642415652
265	0.5780034868	0.5642088571
266	0.5781043624	0.5641414177
267	0.5781592926	0.5641046913
268	0.5782313802	0.5640564899
269	0.5782664857	0.564033015
270	0.5782879325	0.5640186732
271	0.5783372681	0.5639856803
272	0.5783474657	0.5639788605
273	0.5784173202	0.5639321418
274	0.5784834273	0.5638879258
275	0.5785247167	0.5638603075
276	0.5785398521	0.5638501832
277	0.5785598544	0.5638368029
278	0.5786052663	0.5638064242
279	0.578658414	0.5637708686
280	0.5787038186	0.5637404913
281	0.5787680667	0.5636975041
282	0.5788061405	0.5636720281
283	0.578822196	0.5636612847
284	0.5788999948	0.5636092233
285	0.5789312067	0.5635883356
286	0.5790185913	0.5635298517
287	0.5791046003	0.5634722825
288	0.5791855485	0.5634180953
289	0.5793012945	0.5633406053
290	0.579382872	0.5632859841
291	0.5794940785	0.5632115159
292	0.5795691496	0.5631612397
293	0.5795853644	0.5631503799
294	0.5796841922	0.5630841855
295	0.5797221663	0.5630587486
296	0.5797299606	0.5630535274
297	0.579787786	0.5630147905
298	0.5798749557	0.562956391
299	0.5799000161	0.5629396006
300	0.5799884123	0.5628803714
301	0.5800511597	0.5628383243
302	0.5800617751	0.5628312106
303	0.5800959679	0.5628082963
304	0.5801236585	0.5627897388
305	0.5801532743	0.5627698904
306	0.5801863503	0.5627477221
307	0.5802320052	0.5627171217
308	0.5802445915	0.5627086855
309	0.5803045687	0.5626684824
310	0.5803401532	0.5626446285
311	0.5803496613	0.5626382547
312	0.5803857479	0.562614063
313	0.5804741022	0.5625548276
314	0.5805050488	0.5625340786
315	0.5805252855	0.56252051
316	0.5806205469	0.562456633
317	0.5806441063	0.5624408343
318	0.580695792	0.5624061727
319	0.5807424027	0.5623749127
320	0.5807828403	0.5623477914
321	0.5808387125	0.562310316
322	0.5808576338	0.5622976243
323	0.5809087739	0.5622633199
324	0.5809829105	0.5622135859
325	0.5810624213	0.5621602419
326	0.5810896368	0.5621419817
327	0.5811601393	0.5620946756
328	0.5812215363	0.5620534758
329	0.5812912924	0.5620066631
330	0.5813188891	0.5619881422
331	0.5813835413	0.5619447497
332	0.5814425367	0.5619051511
333	0.5814770421	0.5618819891
334	0.5815185472	0.5618541274
335	0.5815615802	0.5618252386
336	0.5815817103	0.5618117244
337	0.5816220397	0.5617846485
338	0.5816730415	0.5617504057
339	0.5817359986	0.5617081331
340	0.581759253	0.5616925181
341	0.5817749961	0.5616819466
342	0.5818151622	0.5616549742
343	0.5818659869	0.5616208423
344	0.581897186	0.5615998893
345	0.5819145653	0.5615882171
346	0.5819268037	0.5615799975
347	0.5819707151	0.5615505046
348	0.5819932236	0.5615353862
349	0.5820315078	0.5615096708
350	0.5820721553	0.5614823667
351	0.5820752182	0.5614803092
352	0.5820855456	0.5614733717
353	0.5822002035	0.5613963443
354	0.5822149458	0.5613864397
355	0.5822285312	0.5613773121
356	0.5822402127	0.5613694635
357	0.5822631908	0.5613540248
358	0.5823192302	0.5613163707
359	0.5823404818	0.5613020907
360	0.5823892324	0.5612693311
361	0.5824110978	0.5612546374
362	0.582461779	0.5612205777
363	0.5824706801	0.5612145956
364	0.5825126506	0.5611863879
365	0.582557191	0.5611564516
366	0.5826077965	0.5611224367
367	0.5826229898	0.5611122241
368	0.5826323258	0.5611059485
369	0.5826508061	0.561093526
370	0.5826756175	0.5610768472
371	0.5826782272	0.5610750929
372	0.5826966736	0.5610626924
373	0.582711677	0.5610526064
374	0.5827594327	0.5610205012
375	0.5827703086	0.5610131893
376	0.5827868171	0.5610020904
377	0.5827948084	0.5609967176
378	0.5828292251	0.5609735779
379	0.5828485998	0.560960551
380	0.5828802995	0.5609392367
381	0.5828817085	0.5609382893
382	0.5829184504	0.5609135836
383	0.5829817143	0.5608710417
384	0.5830142431	0.5608491664
385	0.583021036	0.5608445981
386	0.583027315	0.5608403754
387	0.5830606509	0.560817956
388	0.583108737	0.5607856152
389	0.583116605	0.5607803234
390	0.5831420866	0.5607631845
391	0.5831894356	0.5607313363
392	0.5832544731	0.5606875874
