iter	Passed	Remaining
0	99	49688
1	196	48963
2	275	45562
3	351	43561
4	432	42857
5	515	42437
6	593	41769
7	679	41790
8	754	41157
9	837	41038
10	919	40876
11	1016	41336
12	1095	41057
13	1177	40875
14	1261	40783
15	1340	40557
16	1419	40341
17	1497	40087
18	1575	39894
19	1650	39623
20	1728	39417
21	1806	39240
22	1885	39113
23	1964	38954
24	2044	38841
25	2120	38664
26	2206	38662
27	2295	38693
28	2378	38625
29	2462	38573
30	2551	38597
31	2630	38473
32	2716	38445
33	2808	38486
34	2893	38440
35	2973	38321
36	3063	38332
37	3150	38306
38	3234	38228
39	3319	38178
40	3399	38061
41	3487	38027
42	3567	37911
43	3662	37953
44	3757	37993
45	3838	37882
46	3919	37777
47	4007	37737
48	4088	37631
49	4172	37556
50	4258	37488
51	4342	37415
52	4430	37366
53	4506	37219
54	4611	37315
55	4704	37303
56	4808	37371
57	4888	37252
58	4978	37211
59	5091	37336
60	5195	37387
61	5294	37403
62	5394	37415
63	5479	37330
64	5567	37261
65	5653	37176
66	5741	37107
67	5823	36995
68	5904	36880
69	5982	36747
70	6064	36643
71	6145	36532
72	6228	36433
73	6323	36400
74	6417	36366
75	6519	36371
76	6611	36321
77	6702	36261
78	6787	36170
79	6885	36151
80	6968	36047
81	7070	36043
82	7168	36017
83	7264	35975
84	7364	35954
85	7462	35923
86	7562	35901
87	7652	35826
88	7733	35713
89	7815	35603
90	7919	35595
91	8015	35549
92	8108	35484
93	8198	35409
94	8289	35340
95	8370	35225
96	8455	35127
97	8579	35195
98	8658	35069
99	8749	34997
100	8827	34874
101	8909	34764
102	8990	34652
103	9081	34579
104	9189	34571
105	9271	34461
106	9349	34340
107	9444	34279
108	9535	34206
109	9638	34171
110	9735	34118
111	9831	34059
112	9924	33990
113	10001	33864
114	10090	33779
115	10175	33685
116	10257	33578
117	10377	33594
118	10483	33565
119	10599	33565
120	10680	33453
121	10783	33411
122	10868	33312
123	10949	33201
124	11055	33167
125	11157	33119
126	11279	33128
127	11388	33098
128	11481	33020
129	11594	32998
130	11700	32957
131	11789	32868
132	11876	32773
133	11978	32717
134	12058	32603
135	12153	32528
136	12244	32442
137	12327	32336
138	12419	32255
139	12506	32160
140	12589	32052
141	12685	31982
142	12764	31867
143	12851	31771
144	12942	31687
145	13033	31600
146	13112	31488
147	13208	31413
148	13296	31321
149	13388	31239
150	13474	31144
151	13552	31027
152	13582	30805
153	13674	30722
154	13788	30690
155	13895	30642
156	13984	30552
157	14081	30481
158	14164	30377
159	14266	30315
160	14355	30225
161	14439	30127
162	14538	30057
163	14634	29981
164	14731	29908
165	14830	29840
166	14917	29746
167	14994	29631
168	15071	29519
169	15169	29446
170	15252	29345
171	15349	29271
172	15437	29179
173	15533	29103
174	15640	29046
175	15727	28953
176	15810	28851
177	15893	28751
178	15978	28654
179	16081	28589
180	16173	28504
181	16250	28393
182	16331	28290
183	16416	28193
184	16501	28097
185	16584	27996
186	16666	27896
187	16744	27788
188	16825	27687
189	16902	27577
190	16982	27473
191	17063	27372
192	17145	27272
193	17239	27192
194	17318	27087
195	17402	26991
196	17481	26887
197	17563	26789
198	17644	26688
199	17730	26596
200	17813	26497
201	17890	26393
202	18002	26338
203	18086	26242
204	18170	26147
205	18201	25976
206	18309	25916
207	18415	25852
208	18530	25800
209	18622	25716
210	18722	25643
211	18803	25544
212	18880	25440
213	18963	25344
214	19047	25249
215	19126	25147
216	19214	25057
217	19298	24964
218	19376	24862
219	19469	24779
220	19547	24677
221	19633	24586
222	19712	24486
223	19801	24398
224	19912	24337
225	20010	24260
226	20104	24178
227	20195	24093
228	20281	24000
229	20384	23929
230	20464	23830
231	20560	23750
232	20642	23655
233	20725	23559
234	20813	23470
235	20890	23369
236	20992	23295
237	21093	23220
238	21179	23128
239	21279	23053
240	21362	22957
241	21445	22863
242	21531	22771
243	21615	22678
244	21712	22598
245	21811	22521
246	21890	22422
247	21969	22323
248	22045	22222
249	22134	22134
250	22228	22051
251	22326	21972
252	22423	21892
253	22520	21811
254	22613	21726
255	22713	21648
256	22802	21560
257	22887	21468
258	22970	21374
259	23052	21279
260	23140	21189
261	23226	21098
262	23315	21010
263	23405	20922
264	23485	20826
265	23570	20734
266	23667	20653
267	23745	20555
268	23833	20466
269	23916	20373
270	24001	20281
271	24078	20183
272	24175	20101
273	24276	20023
274	24363	19934
275	24469	19859
276	24576	19785
277	24661	19693
278	24745	19601
279	24822	19503
280	24902	19408
281	24999	19325
282	25095	19243
283	25182	19152
284	25287	19076
285	25389	18998
286	25477	18908
287	25570	18822
288	25680	18749
289	25776	18666
290	25882	18588
291	25967	18497
292	26044	18400
293	26164	18333
294	26254	18244
295	26358	18165
296	26450	18079
297	26529	17983
298	26622	17896
299	26706	17804
300	26802	17719
301	26887	17628
302	26989	17547
303	27066	17450
304	27155	17361
305	27247	17274
306	27326	17179
307	27413	17088
308	27491	16993
309	27604	16918
310	27687	16825
311	27789	16744
312	27881	16657
313	27964	16564
314	28050	16473
315	28151	16392
316	28240	16302
317	28347	16224
318	28437	16135
319	28519	16042
320	28597	15946
321	28701	15866
322	28781	15772
323	28882	15689
324	28973	15601
325	29070	15516
326	29157	15425
327	29246	15336
328	29325	15241
329	29402	15146
330	29486	15055
331	29577	14966
332	29661	14875
333	29746	14783
334	29823	14689
335	29908	14598
336	29995	14508
337	30081	14417
338	30162	14324
339	30270	14245
340	30377	14164
341	30458	14071
342	30540	13979
343	30626	13888
344	30715	13799
345	30798	13707
346	30887	13618
347	30969	13526
348	31054	13436
349	31152	13351
350	31248	13265
351	31334	13174
352	31423	13085
353	31505	12993
354	31588	12902
355	31677	12813
356	31777	12728
357	31871	12641
358	31959	12552
359	32063	12469
360	32167	12385
361	32283	12307
362	32397	12227
363	32490	12139
364	32592	12054
365	32673	11962
366	32771	11876
367	32866	11789
368	32964	11702
369	33079	11622
370	33194	11542
371	33290	11454
372	33387	11367
373	33482	11280
374	33597	11199
375	33717	11119
376	33827	11036
377	33915	10946
378	33999	10854
379	34090	10765
380	34167	10671
381	34247	10578
382	34343	10491
383	34435	10402
384	34525	10312
385	34603	10219
386	34702	10132
387	34804	10046
388	34920	9964
389	35016	9876
390	35122	9791
391	35212	9701
392	35310	9613
393	35397	9523
394	35478	9430
395	35565	9340
396	35656	9250
397	35745	9160
398	35831	9070
399	35938	8984
400	36028	8894
401	36134	8808
402	36224	8718
403	36322	8631
404	36419	8542
405	36536	8459
406	36627	8369
407	36723	8280
408	36828	8194
409	36939	8108
410	37049	8022
411	37152	7935
412	37243	7845
413	37352	7759
414	37433	7667
415	37510	7574
416	37604	7484
417	37695	7394
418	37787	7304
419	37871	7213
420	37950	7121
421	38028	7028
422	38114	6938
423	38215	6850
424	38320	6762
425	38411	6672
426	38515	6584
427	38596	6492
428	38707	6406
429	38818	6319
430	38906	6228
431	39009	6140
432	39083	6047
433	39192	5960
434	39300	5872
435	39409	5784
436	39505	5695
437	39626	5609
438	39729	5520
439	39829	5431
440	39925	5341
441	40020	5251
442	40120	5162
443	40217	5072
444	40309	4982
445	40402	4891
446	40489	4800
447	40569	4708
448	40655	4617
449	40741	4526
450	40821	4435
451	40911	4344
452	41007	4254
453	41095	4163
454	41185	4073
455	41283	3983
456	41395	3894
457	41491	3804
458	41590	3715
459	41692	3625
460	41776	3534
461	41857	3442
462	41939	3351
463	42051	3262
464	42129	3171
